"Symbol";"Value";"Unit";
"REFERENCE";"2814.2832";"";
"TraceParts.PartVersion";"1.0.2";"";
"SUPPLIER";"MENTOR";"";
"rows";"2";"";
"led_shape";"rechteckig";"";
"length";"13.05";"";
"TraceParts.PartNumber";"90-06062022-037348";"";
"material";"Kunststoff";"";
"TraceParts.InstanceId";"90-06062022-0373482N3XX9WWY2MK673V115V3T3RA";"";
"height";"10";"";
"DESIGN";"Mehrfach LED-Anzeige";"";
"Part_Number_ProductPage_URL";"https://www.mentor.de.com/bauelemente/product/2814-2832/";"";
"TRACEPARTS";"TRACEPARTS";"";
"TraceParts.PartTitle";"Doppel-LEDs ø3mm liegend";"";
"led_color";"rot/grün";"";
"ledstrom";"20";"";
"TraceParts.PartLanguage";"de";"";
"typ";"Mehrfach LED-Anzeige";"";
"mounting";"THT";"";
"width";"5";"";
