"Symbol";"Value";"Unit";
"REFERENCE";"1871.2231";"";
"MATERIAL";"Kunststoff";"";
"SUPPLIER";"MENTOR";"";
"WIDTH";"15";"";
"TraceParts.InstanceId";"90-20042023-0792672N3XX9WWY2MK673V115V3T3RA";"";
"TraceParts.PartNumber";"90-20042023-079267";"";
"SWITCH_VOLTAGE";"≤ 60 V AC/DC";"";
"TraceParts.PartLanguage";"de";"";
"DESIGN";"Drucktaster";"";
"Part_Number_ProductPage_URL";"https://www.mentor.de.com/bauelemente/product/1871-2231/";"";
"TraceParts.PartTitle";"Drucktaster";"";
"HEIGHT";"5";"";
"SWITCH_CURRENT";"≤ 100 mA";"";
"TRACEPARTS";"TRACEPARTS";"";
"POLE";"1+1";"";
"MOUNTING";"THT";"";
"TraceParts.PartVersion";"1.0.0";"";
"ORIENTATION";"liegend";"";
"LENGTH";"25.2";"";
